line_id,txn_date,narration,ref_no,debit,credit,balance
BNK00001,05-08-2026,NEFT CR-YESBR2026080582882063-RAZORPAY SOFTWARE PVT LTD-KAVERI HOME GOODS,S51785569,,35376.56,460376.56
BNK00002,05-08-2026,NEFT DR-DELHIVERY LTD,S92965099,19111.00,,441265.56
BNK00003,06-08-2026,INT.PD:SWEEP DEPOSIT,S59128664,,55770.00,497035.56
BNK00004,07-08-2026,RTGS/YESBR202608/RAZORPAY,S12065522,,20358.38,517393.94
BNK00005,08-08-2026,NEFT CR-RAZORPAY SOFTW-0825151338,S42691769,,26998.92,544392.86
BNK00006,08-08-2026,NEFT CR-YESBR2026080768697435-RAZORPAY SOFTWARE PVT LTD-KAVERI HOME GOODS,S63612478,,32558.52,576951.38
BNK00007,09-08-2026,GST PMT CHALLAN CPIN 26080012,S99226618,43916.00,,533035.38
BNK00008,10-08-2026,NEFT CR-YESBR2026081064579453-RAZORPAY SOFTWARE PVT LTD-KAVERI HOME GOODS,S95050974,,69236.98,602272.36
BNK00009,11-08-2026,RAZORPAY SOFTWARE PRIVATE LIMITED,YESBR2026081141567854,,45736.32,648008.68
BNK00010,12-08-2026,NEFT CR-YESBR2026081210486211-RAZORPAY SOFTWARE PVT LTD-KAVERI HOME GOODS,S74310318,,33993.65,682002.33
BNK00011,13-08-2026,INT.PD:SWEEP DEPOSIT,S25292304,,9514.00,691516.33
BNK00012,13-08-2026,NEFT CR-YESBR2026081388950439-RAZORPAY SOFTWARE PVT LTD-KAVERI HOME GOODS,S99038205,,15813.82,707330.15
BNK00013,14-08-2026,CHQ DEP 000211 CLG,S48956152,,7970.00,715300.15
BNK00014,14-08-2026,NEFT CR-YESBR2026081455283600-RAZORPAY SOFTWARE PVT LTD-KAVERI HOME GOODS,S93877778,,20238.93,735539.08
BNK00015,14-08-2026,NEFT CR-YESBR2026082348827774-RAZORPAY SOFTWARE PVT LTD-KAVERI HOME GOODS,S79270437,,60336.50,795875.58
BNK00016,15-08-2026,ACH DR-HDFC ERGO INSURANCE,S58019671,14949.00,,780926.58
BNK00017,15-08-2026,CHQ DEP 000211 CLG,S44677621,,24139.00,805065.58
BNK00018,15-08-2026,INT.PD:SWEEP DEPOSIT,S10492005,,15065.00,820130.58
BNK00019,15-08-2026,NEFT CR-YESBR2026081566207816-RAZORPAY SOFTWARE PVT LTD-KAVERI HOME GOODS,S73016668,,61024.06,881154.64
BNK00020,16-08-2026,INT.PD:SWEEP DEPOSIT,S13042030,,11077.00,892231.64
BNK00021,18-08-2026,NEFT CR-YESBR2026081814273705-RAZORPAY SOFTWARE PVT LTD-KAVERI HOME GOODS,S24039643,,24445.12,916676.76
BNK00022,19-08-2026,GST PMT CHALLAN CPIN 26080012,S80851485,7067.00,,909609.76
BNK00023,20-08-2026,NEFT CR-YESBR2026082095259961-RAZORPAY SOFTWARE PVT LTD-KAVERI HOME GOODS,S51697206,,12092.03,921701.79
BNK00024,20-08-2026,RAZORPAY SOFTWARE PRIVATE LIMITED,YESBR2026081958246117,,12638.43,934340.22
BNK00025,21-08-2026,NEFT CR-YESBR2026082199953289-RAZORPAY SOFTWARE PVT LTD-KAVERI HOME GOODS,S10287458,,32967.88,967308.10
BNK00026,22-08-2026,INT.PD:SWEEP DEPOSIT,S85062799,,39950.00,1007258.10
BNK00027,22-08-2026,RTGS/YESBR202608/RAZORPAY,S34672118,,21340.80,1028598.90
BNK00028,24-08-2026,RAZORPAY SOFTWARE PVT LTD,S10644998,,81358.44,1109957.34
BNK00029,25-08-2026,RAZORPAY SOFTWARE PVT LTD,S65075132,,81358.44,1191315.78
